title,image_small,image
Idaho Super Fan 1906,https://www.lib.uidaho.edu/digital/gem/coloring/Uidaho_Coloring_fan_sm.jpg,https://www.lib.uidaho.edu/digital/gem/coloring/Uidaho_Coloring_fan.jpg
Agriculture from 1920,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_ColoringBook2017_agriculture_sm.jpg,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_ColoringBook2017_agriculture.jpg
Patterns from 1907,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_patterns_sm.jpg,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_patterns.jpg
The Student Body 1904,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_students_sm.jpg,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_students.jpg
Musical Organization 1906,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_music_sm.jpg,https://www.lib.uidaho.edu/digital/gem/coloring/UIdaho_Coloring_music.jpg
