name,description,image,yearbook,page
Carol Ryrie Brink (1917),Author of <em>Caddie Woodlawn</em>,https://objects.lib.uidaho.edu/gem/images/people/ryrie.jpg,1917,210
Malcolm MacKenzie Renfrew (1931),"Chemist, Inventor, U of I Professor",https://objects.lib.uidaho.edu/gem/images/people/renfrew.jpg,1931,234
W. Mark Felt (1933),"""Deep Throat,"" Former Associate Director of the FBI",https://objects.lib.uidaho.edu/gem/images/people/felt.jpg,1933,131
Philip Habib (1942),"Decorated United States Diplomat",https://objects.lib.uidaho.edu/gem/images/people/habib.jpg,1942,42
Dirk Kempthorne (1975),"Former Governor of Idaho, US Senator, and Secretary of the Interior",https://objects.lib.uidaho.edu/gem/images/people/kempthorne.jpg,1975,111
"William Mark ""Bill"" Fagerbakke (1976)","Actor, starred in <em>Coach</em>",https://objects.lib.uidaho.edu/gem/images/people/fagerbakke.jpg,1976,260
Sarah (Heath) Palin (1987),"Former Governor of Alaska",https://objects.lib.uidaho.edu/gem/images/people/palin.jpg,1987,102
