objectid,title,description,updates,start_date,end_date,image_small,image_thumb,object_location
fridayletter,The Friday Letter Archive,"An archive of the University of Idaho President's communications, including the Friday Letter, memos, reports, videos, and presentations originally published on the website of the Office of the President.",Updated annually,2013,2025,https://objects.lib.uidaho.edu/fridayletter/letter-president-fl.jpg,https://objects.lib.uidaho.edu/fridayletter/letter-president-fl.jpg,https://www.lib.uidaho.edu/digital/fridayletter/
archiveit,University of Idaho Library Archive-It,"The Library uses the Archive-It web archiving platform to capture authentic digital records for long-term preservation and access. Some curated harvests are cataloged in our portal. All captured content is discoverable via the Internet Archive Wayback Machine.",Regular updates and automated crawling,2025,,https://www.lib.uidaho.edu/media/spec/Archive-It_navy_text.svg,https://www.lib.uidaho.edu/media/spec/Archive-It_navy_text.svg,https://archive-it.org/home/uidaholib
t-abraham,Terry Abraham Web Archive,"The Terry Abraham Web Archive preserves the writing, scholarship, and resources of Terry Abraham that were originally published on University of Idaho's early websites.",One-time capture,1978,2015,,,https://www.lib.uidaho.edu/special-collections/t-abraham/
uinews,University of Idaho News Archive,"Web archive that captured U of I News content in 2015 before the university migrated their website platform.",One-time capture,1997,2015,,,https://www.lib.uidaho.edu/digital/uinews/index.html
firstmondaynewsletter,First Monday Newsletter Archive,"Items harvested in 2015 to ensure continued access to the unique content of the College of Law newsletter, First Monday.",One-time capture,2003,2014,,,https://www.lib.uidaho.edu/find/firstmondaynewsletter/
