Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,UI Library web timeline,"The Internet Archive's Wayback Machine is a fascinating tool to explore the history of the web, providing access to over 23 pentabytes of archived data. In honor of the updated UI Library website for Fall semester 2015, this timeline features the major redesigns over the last two decades. ",https://objects.lib.uidaho.edu/webarchive/timeline/1997.jpg,,,,title,,
1996,11,1,,,,,,,Internet Archive starts preserving websites,,https://objects.lib.uidaho.edu/webarchive/timeline/1996.jpg,,"<a href=""https://archive.org/web/"">WayBack Machine</a>",,,,
1997,2,18,,,,,,,"First capture of UI Library website
",Tables were awesome and Netscape existed!,https://objects.lib.uidaho.edu/webarchive/timeline/1997.jpg,,"<a href=""https://web.archive.org/web/19970218140532/http://www.lib.uidaho.edu/"">archive</a>",,,,
2000,11,10,,,,,,,eBooks Arrive,Where is the search bar?,https://objects.lib.uidaho.edu/webarchive/timeline/2000.jpg,,"<a href=""https://web.archive.org/web/20001110114300/http://www.lib.uidaho.edu/"">archive</a>",,,,
2002,10,18,,,,,,,How do I...?,,https://objects.lib.uidaho.edu/webarchive/timeline/2002.jpg,,"<a href=""https://web.archive.org/web/20021018173902/http://www.lib.uidaho.edu/"">archive</a>",,,,
2004,7,1,,,,,,,"From Here You Can Go Anywhere!
",,https://objects.lib.uidaho.edu/webarchive/timeline/2004.jpg,,"<a href=""https://web.archive.org/web/20040701145020/http://www.lib.uidaho.edu/"">archive</a>",,,,
2008,9,13,,,,,,,This version lasted a long time...,,https://objects.lib.uidaho.edu/webarchive/timeline/2008.jpg,,"<a href=""https://web.archive.org/web/20080913173539/http://www.lib.uidaho.edu/"">archive</a>",,,,
2009,9,30,,,,,,,"Ask Us!
",Chat reference arrives and search with WorldCat.,https://objects.lib.uidaho.edu/webarchive/timeline/2009.jpg,,"<a href=""https://web.archive.org/web/20090930201718/http://www.lib.uidaho.edu/"">archive</a>",,,,
2011,10,15,,,,,,,Books & More,"Nice new tabbed search feature and map of the library.  Also, now you can text a librarian!
",https://objects.lib.uidaho.edu/webarchive/timeline/2011.jpg,,"<a href=""https://web.archive.org/web/20111015123806/http://www.lib.uidaho.edu/"">archive</a>",,,,
2014,2,15,,,,,,,"Books, Articles, & More","Introducing the new catalog, Primo (Summit).
",https://objects.lib.uidaho.edu/webarchive/timeline/2014-02.jpg,,"<a href=""https://web.archive.org/web/20140215090711/http://www.lib.uidaho.edu/"">archive</a>",,,,
2014,10,8,,,,,,,Responsive redesign,"Notice that some elements of this page were not captured by the web harvester. For example, the background image is missing and the twitter feed links to the live web. As designs have become more complex, archiving the web becomes more challenging.
",https://objects.lib.uidaho.edu/webarchive/timeline/2014-10.jpg,,"<a href=""https://web.archive.org/web/20141008015605/http://www.lib.uidaho.edu/"">archive</a>",,,,
2015,8,20,,,,,,,Tabbed search scopes,,https://objects.lib.uidaho.edu/webarchive/timeline/2015.jpg,,"<a href=""https://web.archive.org/web/20150925083757/http://www.lib.uidaho.edu:80/"">archive</a>",,,,
2016,10,17,,,,,,,Room bookings and workshops,,https://objects.lib.uidaho.edu/webarchive/timeline/2016.jpg,,"<a href=""https://web.archive.org/web/20161017110200/https://www.lib.uidaho.edu/"">archive</a>",,,,
2018,8,15,,,,,,,U of I rebranding and major redesign,"In summer 2018 U of I updated its logos and color scheme, which set off a major redesign of the library website. The look mirrors the main university website, but retains its own unique theme. Underneath the technical stack was also updated, ensuring improvements to responsiveness and simplifying maintenance.",https://objects.lib.uidaho.edu/webarchive/timeline/2018.jpg,,"<a href=""https://web.archive.org/web/20180815210917/https://www.lib.uidaho.edu/"">archive</a>",,,,
2020,1,10,,,,,,,Gradual revisions,"The redesigned theme gradually evolved with new features and enhancements in response to feedback and analytics. The flexible static web approach allowed more library employees to directly contribute to creating and editing content. The percentage of users visiting the site from a mobile device continues to grow.",https://objects.lib.uidaho.edu/webarchive/timeline/2019.jpg,,"<a href=""https://web.archive.org/web/20200112191726/https://www.lib.uidaho.edu/"">archive</a>",,,,
2025,9,27,,,,,,,"Ready for a redesign","The content on the library website has continued to adapt to needs on campus, with more tutorials, updates, and features. The main university site launched with a redesigned theme, meaning the library will soon follow!",https://objects.lib.uidaho.edu/webarchive/timeline/2025.jpg,,"<a href=""https://web.archive.org/web/20250824025821/https://www.lib.uidaho.edu/"">archive</a>",,,,
